Gene,log2FoldChange,pvalue,padj
Col15a1,0.153,0.172,0.595
Nr4a3,-0.0569,0.891,0.974
Erp44,0.0374,0.444,0.815
Invs,0.0414,0.648,0.907
Tex10,-0.0745,0.424,0.803
Tmeff1,-0.165,0.187,0.612
Cavin4,-0.0331,0.684,0.917
Brinp1,0.423,0.449,0.817
Fmn2,0.0711,0.869,0.968
Zfp618,-0.217,0.417,0.797
Slc44a5,0.361,0.264,0.689
Tnfsf8,-2.3,0.0419,0.34
Tnc,-0.502,0.127,0.531
Txn1,0.0883,0.146,0.559
Svep1,-0.0739,0.469,0.827
Pappa,-0.828,0.00689,0.144
Astn2,0.0661,0.658,0.91
Ptgr1,-0.326,0.0901,0.466
Ugcg,-0.125,0.189,0.615
Ptbp3,-0.195,0.0165,0.223
Hsdl2,0.0223,0.719,0.927
Snx30,-0.0668,0.47,0.827
Slc46a2,0.277,0.571,0.878
Zfp37,-0.0642,0.707,0.924
Wdr31,0.152,0.696,0.921
Bspry,-0.0925,0.88,0.971
Alad,-0.0622,0.255,0.684
Pole3,-0.0407,0.529,0.858
2310002L09Rik,0.0562,0.569,0.877
Kdm4c,-0.088,0.141,0.552
Dmac1,-0.0128,0.843,0.963
Ptprd,-0.21,0.0608,0.396
Mpdz,-0.0167,0.791,0.95
Zdhhc21,-0.132,0.201,0.63
Aco1,0.000771,0.991,0.997
Smim27,0.0741,0.65,0.908
Smu1,-0.0325,0.512,0.848
Dnaja1,0.176,0.186,0.611
Aptx,0.0944,0.188,0.614
Slc44a1,-0.00761,0.868,0.968
B4galt1,-0.102,0.0285,0.287
Fktn,-0.00803,0.93,0.984
Spink4,-0.609,0.5,0.842
Bag1,-0.0258,0.527,0.856
Tal2,-0.0806,0.883,0.971
Chmp5,-0.077,0.268,0.693
Tmem38b,-0.0285,0.732,0.932
Nfx1,0.0843,0.0469,0.356
Rad23b,0.0587,0.136,0.546
Aqp7,-0.316,0.00327,0.0981
Nol6,0.0662,0.256,0.684
Elp1,-0.04,0.444,0.814
Ubap2,0.181,0.000228,0.0219
Epb41l4b,0.111,0.306,0.722
Aqp3,-0.0676,0.955,0.989
Dcaf12,-0.0472,0.39,0.781
Ubap1,0.0295,0.493,0.839
Kif24,-0.403,0.219,0.648
Fam219a,-0.0599,0.404,0.789
Nudt2,0.00237,0.975,0.994
Cntfr,-0.166,0.403,0.789
Enho,-0.016,0.852,0.965
Dctn3,0.0471,0.404,0.79
1700022I11Rik,0.287,0.55,0.868
Vcp,0.0743,0.0118,0.188
Fancg,-0.132,0.384,0.778
Pigo,0.132,0.0263,0.278
Stoml2,-0.0342,0.591,0.888
Unc13b,-0.0183,0.806,0.953
Atp8b5,0.0752,0.87,0.968
Tesk1,0.113,0.0738,0.43
Cd72,-0.609,0.0982,0.483
Sit1,-2.83,0.0254,0.274
Ccdc107,-0.0234,0.757,0.939
Car9,0.431,0.396,0.785
Tpm2,0.238,0.115,0.512
Tln1,0.139,0.11,0.505
Creb3,-0.0258,0.699,0.922
Gba2,-0.0636,0.259,0.686
Rgp1,-0.0263,0.642,0.905
Npr2,-0.0644,0.24,0.669
Hint2,-0.0577,0.38,0.776
Spaar,-0.258,0.0389,0.33
Reck,-0.0889,0.266,0.691
Clta,-0.029,0.557,0.87
Gne,0.0688,0.292,0.713
Glipr2,-0.11,0.501,0.842
Snapc3,-0.0464,0.629,0.901
Psip1,-0.141,0.0395,0.332
Bnc2,-0.807,0.00224,0.0803
Sh3gl2,-0.872,0.0007,0.0395
Plin2,-0.219,0.027,0.281
Rps6,-0.0645,0.147,0.561
Mllt3,0.0867,0.21,0.639
Hacd4,-0.31,0.00353,0.103
Usp24,0.0438,0.406,0.791
Plpp3,-0.0519,0.427,0.804
Prkaa2,0.0505,0.428,0.804
Dab1,-2.36,0.188,0.614
Slc35d1,0.131,0.113,0.508
Mier1,-0.00461,0.928,0.983
Sgip1,-0.173,0.413,0.795
Pde4b,0.251,0.0254,0.274
Ak4,0.0617,0.453,0.819
Dnajc6,-0.791,0.0534,0.377
Jak1,-0.0148,0.841,0.963
Cachd1,-0.202,0.0735,0.43
St3gal3,0.0277,0.663,0.911
Artn,0.448,0.544,0.864
Dph2,0.00821,0.941,0.986
B4galt2,0.11,0.341,0.748
Slc6a9,0.194,0.225,0.655
Bend5,-0.167,0.128,0.533
Elavl4,0.24,0.662,0.911
Itgb3bp,-0.0652,0.659,0.91
Atg4c,-0.0388,0.727,0.93
Cdkn2c,0.0263,0.828,0.96
Eps15,-0.154,0.00386,0.108
Angptl3,-0.209,0.316,0.728
Ttc39a,-0.242,0.273,0.696
Dock7,0.0565,0.384,0.778
Rnf11,0.0315,0.472,0.828
Calr4,-0.268,0.771,0.944
Osbpl9,-0.108,0.00734,0.149
Usp1,-0.0378,0.488,0.836
Tm2d1,0.0165,0.788,0.949
Nfia,0.131,0.04,0.333
Txndc12,0.0242,0.68,0.916
Btf3l4,0.00893,0.867,0.968
Hook1,-0.14,0.114,0.51
Fggy,0.15,0.32,0.732
Ift74,0.00618,0.956,0.99
Plaa,0.0683,0.121,0.522
Caap1,-0.102,0.409,0.792
Pum1,0.077,0.0372,0.323
Laptm5,-0.338,0.132,0.54
Cc2d1b,0.0254,0.71,0.925
Pdpn,-0.221,0.0781,0.441
Lrrc38,0.459,0.356,0.761
Orc1,-0.996,0.112,0.507
Gpx7,-0.0913,0.452,0.819
Tnfrsf1b,-0.0616,0.665,0.911
Podn,-0.0618,0.681,0.916
Echdc2,0.022,0.733,0.933
Scp2,-0.0787,0.0591,0.392
Cpt2,0.0871,0.142,0.553
Czib,0.0961,0.115,0.512
Magoh,-0.103,0.141,0.553
Lrp8,-0.704,0.0338,0.31
Ndc1,-0.0221,0.754,0.939
Lrrc42,0.0209,0.827,0.96
Tmem59,-0.0527,0.152,0.567
Tceanc2,0.00593,0.94,0.986
Cyb5rl,0.00791,0.914,0.98
Mrpl37,0.202,0.000314,0.0257
Col9a2,0.782,0.1,0.487
Exo5,-0.0554,0.785,0.948
Dyrk2,0.11,0.045,0.349
Kcnq4,-0.0424,0.783,0.948
Ctps,0.00413,0.95,0.988
Hivep3,-0.128,0.215,0.645
Ppcs,-0.134,0.134,0.543
Ccdc30,-0.306,0.478,0.831
Ybx1,0.0372,0.311,0.725
P3h1,0.00746,0.921,0.982
Svbp,0.0163,0.851,0.964
Slc2a1,-0.0585,0.418,0.798
Rragc,-0.00469,0.919,0.981
Mycbp,-0.0791,0.242,0.671
Ndufs5,0.00418,0.944,0.986
Macf1,0.0997,0.094,0.475
Ppie,-0.00309,0.966,0.992
Trit1,-0.11,0.375,0.773
Mycl,-1.01,0.0563,0.385
Mfsd2a,-3.78,0.0207,0.249
Cap1,-0.0739,0.291,0.712
Ppt1,-0.00034,0.994,0.998
Ephb2,-0.308,0.229,0.659
Eloa,0.0213,0.639,0.904
Pithd1,-0.0692,0.24,0.669
Lypla2,0.0935,0.0831,0.452
Gale,-0.444,0.213,0.642
Hmgcl,-0.0309,0.572,0.878
Fuca1,-0.114,0.0689,0.419
Pnrc2,-0.0305,0.415,0.796
Srsf10,0.0383,0.555,0.87
Rnf220,-0.0459,0.33,0.741
Kif2c,-1.29,0.043,0.343
Plk3,-0.188,0.42,0.799
Ptch2,0.0431,0.861,0.967
Eif2b3,-0.0562,0.485,0.835
Urod,0.11,0.0638,0.405
Mutyh,-0.167,0.449,0.818
Toe1,-0.081,0.447,0.817
Ccdc163,0.0871,0.535,0.86
Mmachc,0.0293,0.658,0.91
Prdx1,-0.0138,0.801,0.952
Akr1a1,-0.0715,0.0378,0.326
Nasp,0.0246,0.68,0.916
Ipp,-0.00479,0.955,0.99
Pik3r3,-0.0205,0.863,0.967
Tspan1,0.337,0.835,0.962
Pomgnt1,0.0426,0.387,0.78
Lurap1,-0.0546,0.736,0.934
Rad54l,-0.232,0.287,0.709
Lrrc41,0.0785,0.306,0.722
Nsun4,0.0639,0.306,0.722
Mknk1,-0.0425,0.49,0.837
Mob3c,-0.0994,0.37,0.769
Atpaf1,-0.0113,0.866,0.968
Cyp4b1,-0.411,2.65E-08,0.0000223
Pdzk1ip1,-0.838,0.223,0.654
Tal1,-0.0396,0.661,0.91
Stil,-1.72,0.00217,0.0783
Cmpk1,-0.136,0.0406,0.335
Ebna1bp2,0.0532,0.317,0.729
Aldh4a1,0.0785,0.133,0.542
Mrto4,0.02,0.798,0.952
Akr7a5,0.0904,0.115,0.512
Slc66a1,-0.0209,0.842,0.963
Capzb,0.0298,0.347,0.753
Pla2g2f,1.51,0.128,0.534
Pla2g2c,0.021,0.954,0.989
Cda,-0.702,0.111,0.506
Pink1,0.112,0.0351,0.317
Ddost,0.0607,0.246,0.673
Kif17,-0.481,0.474,0.828
Hp1bp3,-0.0133,0.702,0.923
Eif4g3,0.051,0.328,0.738
Hspg2,0.191,0.0343,0.312
Alpl,0.161,0.0638,0.405
Ptpn12,0.016,0.807,0.954
Zcchc17,-0.0633,0.384,0.778
Fabp3,0.147,0.0321,0.303
Tinagl1,-0.246,0.0361,0.319
Gnat3,0.156,0.812,0.955
Hcrtr1,-0.679,0.438,0.811
Pef1,0.0287,0.57,0.877
Sema3c,-0.139,0.14,0.552
Adgrb2,-0.00346,0.976,0.994
Hpca,-1.29,0.13,0.537
Ptp4a2,0.00283,0.95,0.988
Azin2,-0.401,0.0507,0.368
Khdrbs1,0.0268,0.534,0.86
Ak2,-0.182,0.0361,0.319
Rnf19b,-0.0206,0.742,0.935
A3galt2,-1.58,0.00429,0.112
Ccdc28b,0.131,0.273,0.696
Phc2,-0.0322,0.49,0.838
Tmem234,-0.03,0.413,0.795
Eif3i,-0.00619,0.895,0.975
Zfp362,-0.0939,0.179,0.604
Hdac1,-0.0803,0.321,0.733
Stpg1,-0.365,0.366,0.767
Nipal3,-0.0218,0.668,0.912
Zbtb8a,0.12,0.394,0.783
Srrm1,0.102,0.0245,0.269
Yars,0.0538,0.299,0.717
Sfpq,0.0195,0.805,0.953
Syf2,-0.0617,0.176,0.601
Tmem50a,-0.106,0.0188,0.238
Rhd,-0.179,0.309,0.724
Maco1,0.0581,0.276,0.698
AU040320,-0.0662,0.109,0.503
Stmn1,-0.403,0.00354,0.103
Ncdn,0.0698,0.39,0.781
Trim63,0.202,0.0666,0.412
Slc30a2,0.238,0.371,0.77
Psmb2,0.0605,0.164,0.585
Extl1,0.198,0.0089,0.165
Zfp593,0.0722,0.803,0.953
Cnksr1,-0.409,0.109,0.504
Ago3,-0.392,0.000262,0.0233
Sh3bgrl3,-0.172,0.0991,0.484
Tekt2,0.356,0.18,0.605
Trappc3,0.0831,0.121,0.522
Gpn2,0.0194,0.857,0.966
Map7d1,0.212,0.00000599,0.00185
Gpatch3,-0.097,0.444,0.815
Nudc,0.0589,0.259,0.687
Slc9a1,0.0749,0.304,0.721
Tmem222,-0.0273,0.64,0.904
Csf3r,-0.239,0.432,0.807
Sytl1,-0.0809,0.874,0.969
Mrps15,-0.00604,0.893,0.974
Map3k6,-0.107,0.741,0.935
Meaf6,-0.062,0.35,0.755
Hgf,-0.658,0.0568,0.387
Wasf2,-0.0579,0.295,0.714
Gnl2,0.0462,0.434,0.808
Rspo1,-0.459,0.183,0.609
Cdca8,-0.942,0.0033,0.0984
Fgr,-0.892,0.113,0.509
Fam76a,-0.0363,0.478,0.832
Stx12,-0.0482,0.227,0.657
Ppp1r8,0.0374,0.562,0.873
Sema3a,0.135,0.365,0.766
Rpa2,0.103,0.147,0.561
Smpdl3b,-0.115,0.557,0.871
Eya3,0.0417,0.466,0.825
Yrdc,-0.0496,0.606,0.896
Mtf1,0.129,0.0292,0.29
Sesn2,-0.466,0.00316,0.0967
Inpp5b,0.00323,0.963,0.991
Rcc1,0.00994,0.919,0.981
Trnau1ap,-0.0336,0.644,0.906
Taf12,-0.0409,0.51,0.846
Gmeb1,0.183,0.00576,0.13
Sf3a3,-0.0237,0.707,0.924
Epb41,0.0121,0.861,0.967
Utp11,0.0853,0.16,0.579
Ptpru,-0.0131,0.897,0.976
Mecr,-0.0171,0.848,0.964
Srsf4,0.0657,0.343,0.75
Casp9,-0.102,0.0972,0.482
Plekhm2,0.213,0.00137,0.0594
Arhgef19,0.0544,0.696,0.921
Fbxo42,0.107,0.0787,0.442
Necap2,-0.115,0.229,0.659
Cdk14,-0.169,0.0213,0.253
Padi2,-0.505,0.0283,0.287
Kcnab2,-0.392,0.0976,0.483
Psmc2,0.0811,0.0269,0.28
Xrcc2,0.0134,0.888,0.973
Rpl22,-0.0428,0.407,0.791
Acot7,0.0894,0.0638,0.405
Espn,-0.0946,0.372,0.77
Prkag2,-0.33,0.000108,0.013
Rheb,0.0465,0.237,0.667
Nol9,0.0987,0.194,0.619
Smarcd3,0.157,0.0453,0.35
Tas1r1,-0.0778,0.921,0.982
Zbtb48,0.189,0.0945,0.476
Abcf2,0.0467,0.312,0.725
Nub1,-0.075,0.2,0.629
Vamp3,-0.0261,0.615,0.897
Per3,0.159,0.0316,0.301
Tmub1,0.0367,0.645,0.907
Fastk,0.128,0.00757,0.151
Ube4b,0.0546,0.213,0.642
Pgd,-0.0892,0.353,0.759
Slc4a2,0.125,0.00499,0.12
Park7,0.0158,0.72,0.927
Tnfrsf9,-0.898,0.214,0.644
Errfi1,-0.653,0.000241,0.0228
Cdk5,0.0205,0.776,0.946
Abcb1b,-0.0823,0.404,0.789
Abcb8,0.0587,0.128,0.534
Dffa,-0.0382,0.566,0.875
Pex14,-0.0239,0.667,0.911
Slc2a5,0.347,0.429,0.806
Casz1,0.15,0.0216,0.254
Nos3,-0.0221,0.687,0.917
H6pd,-0.0749,0.254,0.682
Slc25a33,0.145,0.281,0.702
Klhl7,0.115,0.0539,0.379
Ctnnbip1,-0.151,0.0798,0.444
Angptl7,-0.425,0.0352,0.317
Lzic,0.0656,0.356,0.761
Mtor,0.127,0.0116,0.187
Nmnat1,0.0653,0.331,0.741
Hycc1,0.112,0.12,0.521
Rbp7,-0.656,0.0039,0.108
Tomm7,-0.0417,0.671,0.913
Rint1,0.0371,0.587,0.886
Fbxo44,0.0132,0.859,0.966
Mad2l2,-0.0629,0.574,0.878
Kmt2e,-0.00249,0.954,0.989
Draxin,-0.517,0.336,0.744
Agtrap,-0.113,0.0344,0.313
Mthfr,0.111,0.149,0.563
Orc5,0.0232,0.818,0.957
Dnajc2,0.0162,0.781,0.947
Clcn6,0.197,0.0181,0.233
Pmpcb,-0.0376,0.497,0.841
Nppb,-0.332,0.28,0.702
Mfn2,0.152,0.0000522,0.00801
Miip,0.144,0.17,0.592
Dffb,0.128,0.34,0.748
Lrrc47,-0.0374,0.541,0.863
Wrap73,0.0879,0.301,0.718
Tprgl,0.00314,0.935,0.984
Arhgef16,0.119,0.708,0.924
Acap3,0.0728,0.277,0.7
Ints11,0.0237,0.744,0.936
Atad3a,0.211,0.00188,0.0716
Ssu72,-0.088,0.161,0.58
Pex10,0.0576,0.361,0.763
Rer1,-0.00627,0.886,0.972
Morn1,0.0963,0.75,0.937
Ski,0.0645,0.132,0.54
Prkcz,-0.67,0.0000624,0.00928
Plch2,-0.708,0.398,0.785
Pank4,0.101,0.182,0.607
Prxl2b,-0.0205,0.789,0.949
Mib2,0.126,0.0161,0.221
Mmp23,-0.156,0.158,0.576
Cdk11b,0.0108,0.81,0.954
Nadk,-0.134,0.162,0.582
Gnb1,0.00845,0.817,0.957
Mrpl20,-0.054,0.404,0.789
Ccnl2,0.139,0.0245,0.269
Mxra8,-0.0794,0.267,0.691
Dvl1,0.048,0.302,0.719
Tas1r3,-0.22,0.463,0.824
Cptp,-0.0805,0.481,0.833
Tnfrsf4,-0.368,0.633,0.903
Sdf4,-0.0187,0.64,0.904
Bst1,-0.42,0.146,0.559
Cd38,-0.14,0.325,0.736
Prom1,0.382,0.202,0.631
Kcnip4,-0.502,0.281,0.702
5730480H06Rik,-0.156,0.178,0.603
Adgra3,-0.0335,0.509,0.845
Sorcs2,0.403,0.000332,0.0266
Afap1,0.00257,0.97,0.993
Ablim2,0.0959,0.202,0.631
Htra3,-0.0398,0.577,0.879
Trmt44,0.104,0.441,0.813
Acox3,-0.0619,0.231,0.66
Rgs12,-0.197,0.036,0.319
Hgfac,0.347,0.548,0.867
Lrpap1,-0.0646,0.0869,0.459
Htt,0.0733,0.276,0.698
Add1,0.0664,0.0587,0.391
Pcdh7,0.0604,0.47,0.827
Rnf4,0.00715,0.905,0.978
Nelfa,0.157,0.0142,0.209
Man2b2,-0.178,0.0156,0.218
Ppp2r2c,-0.43,0.462,0.824
Crmp1,-0.127,0.695,0.921
Evc,-0.135,0.173,0.596
Stk32b,-0.107,0.614,0.897
Stx18,0.103,0.151,0.565
Nsg1,-0.0866,0.457,0.822
Zbtb49,-0.0276,0.835,0.962
Rab28,0.0367,0.531,0.858
Rnf32,0.294,0.387,0.78
Dnajb6,-0.0413,0.193,0.618
Plb1,-0.0819,0.719,0.927
Fosl2,-0.211,0.329,0.739
Rbks,0.179,0.367,0.767
Slc4a1ap,-0.0279,0.66,0.91
Eif2b4,0.114,0.0326,0.305
Snx17,0.0624,0.0834,0.453
Ppm1g,0.0936,0.0198,0.244
Nrbp1,0.0407,0.291,0.712
Krtcap3,-0.119,0.579,0.881
Slc30a3,0.626,0.371,0.77
Ociad1,0.0506,0.163,0.583
Ociad2,-0.441,0.000502,0.0342
Spata18,0.0411,0.927,0.983
Sgcb,-0.0728,0.059,0.392
Yipf7,0.204,0.00625,0.136
Cgref1,-0.358,0.242,0.671
Khk,0.0272,0.775,0.945
Emilin1,0.108,0.244,0.672
Agbl5,-0.187,0.0543,0.38
Mapre3,-0.0566,0.365,0.766
Ppargc1a,0.315,0.0711,0.425
Dpysl5,-0.365,0.237,0.667
Dhx15,0.0245,0.627,0.9
Pgm2,-0.154,0.145,0.558
Sepsecs,-0.0391,0.64,0.904
Tbc1d1,-0.356,0.0381,0.327
Slc35f6,0.0346,0.604,0.895
Anapc4,0.0741,0.103,0.491
Cenpa,-0.0583,0.393,0.782
Klf3,0.106,0.185,0.611
Zcchc4,-0.153,0.0529,0.375
Fam114a1,-0.113,0.315,0.727
Pi4k2b,-0.254,0.0809,0.447
Sel1l3,0.572,0.00898,0.165
D5Ertd579e,0.0574,0.222,0.652
Rfc1,-0.0107,0.835,0.962
Tbc1d14,-0.0834,0.227,0.657
Klb,-2.28,0.0373,0.323
Tada2b,-0.0562,0.371,0.77
Grpel1,0.0194,0.694,0.92
Lias,0.025,0.673,0.913
Ugdh,-0.138,0.167,0.589
Pds5a,-0.0365,0.532,0.859
Ube2k,-0.0292,0.509,0.845
Rhoh,-0.895,0.101,0.488
Nsun7,1.36,0.0165,0.223
Apbb2,0.153,0.0424,0.342
Guf1,-0.0294,0.598,0.891
Gnpda2,-0.0835,0.324,0.735
Commd8,-0.0774,0.152,0.567
Tec,0.338,0.00468,0.117
Slc10a4,-0.305,0.675,0.914
Slc30a9,0.0159,0.743,0.935
Uchl1,-0.0168,0.871,0.968
Fip1l1,-0.0103,0.834,0.962
Lnx1,-0.0546,0.675,0.914
Chic2,-0.0732,0.315,0.727
Pdgfra,-0.0152,0.827,0.96
Srd5a3,-0.139,0.185,0.611
Tmem165,-0.0772,0.213,0.642
Clock,-0.0661,0.382,0.777
Ppat,0.0905,0.326,0.736
Paics,-0.0197,0.544,0.864
Rest,-0.071,0.404,0.789
Polr2b,0.0144,0.716,0.926
Cenpc1,-0.137,0.209,0.638
Stap1,-1.44,0.019,0.238
Gnrhr,-0.418,0.638,0.904
Pigg,-0.046,0.491,0.838
Dr1,-0.0623,0.231,0.66
Mtf2,-0.0896,0.326,0.737
Dipk1a,-0.0292,0.804,0.953
Sult1d1,0.133,0.974,0.994
Gfi1,-1.13,0.319,0.731
Glmn,-0.109,0.454,0.82
Brdt,-0.355,0.281,0.702
Cdc7,-0.246,0.242,0.671
Tgfbr3,-0.0504,0.512,0.847
Zfp326,-0.125,0.11,0.505
Rufy3,0.0201,0.707,0.924
Gbp9,-0.0813,0.556,0.87
Abcg3,-0.775,0.0973,0.482
Spp1,0.759,0.0536,0.377
Ibsp,-0.402,0.794,0.951
Sparcl1,-0.00522,0.937,0.985
Nudt9,-0.0134,0.808,0.954
Hsd17b11,-0.287,0.0333,0.307
Klhl8,0.082,0.313,0.726
Aff1,0.102,0.312,0.725
Gpat3,0.0397,0.7,0.922
Coq2,0.0537,0.286,0.707
Slc10a6,-0.794,0.00838,0.159
Plac8,-1.07,0.0868,0.459
Enoph1,0.198,0.0243,0.268
Hnrnpdl,0.0557,0.169,0.591
Cds1,-0.323,0.0416,0.339
Prkg2,-0.156,0.647,0.907
Bmp3,-0.265,0.381,0.777
Antxr2,0.0733,0.168,0.589
Crybb1,0.143,0.613,0.897
Tpst2,-0.015,0.799,0.952
Tfip11,0.0613,0.253,0.68
Srrd,0.164,0.191,0.616
Asphd2,0.294,0.352,0.757
Crybb3,0.151,0.644,0.906
Tesc,0.281,0.0000666,0.00966
Gm9754,0.174,0.719,0.927
Nos1,0.344,0.456,0.821
Rfc5,-0.231,0.111,0.506
Wsb2,0.0391,0.442,0.814
Dck,-0.284,0.0695,0.42
Rassf6,-2.24,0.0357,0.318
Cxcl5,0.213,0.684,0.916
Ppbp,-1.04,0.0201,0.246
Pf4,-0.217,0.0189,0.238
Mthfd2l,0.084,0.381,0.777
Ereg,-0.332,0.623,0.899
Cxcl1,0.327,0.25,0.678
Shroom3,0.187,0.0236,0.265
2010109A12Rik,-0.16,0.827,0.96
Ccng2,-0.115,0.147,0.56
Gtf2h3,-0.00238,0.971,0.993
Eif2b1,0.0872,0.129,0.534
Ddx55,0.0242,0.753,0.938
Tmed2,0.022,0.611,0.897
Rilpl1,0.114,0.225,0.655
Cdk2ap1,0.148,0.00308,0.0958
Rchy1,-0.000886,0.987,0.996
Rilpl2,-0.143,0.125,0.528
Snrnp35,0.221,0.0368,0.321
Cdkl2,-0.221,0.0522,0.373
Arl6ip4,0.0967,0.0532,0.376
G3bp2,-0.0905,0.0248,0.271
Pitpnm2,0.185,0.00226,0.0804
Uso1,0.0211,0.589,0.886
Abcb9,0.0809,0.362,0.764
Ppef2,-1.81,0.0215,0.254
Naaa,-0.179,0.136,0.546
Kntc1,-0.269,0.479,0.832
Sdad1,0.0814,0.245,0.673
Slc15a4,0.17,0.0602,0.395
Cxcl9,-0.565,0.0136,0.203
Ajm1,-0.422,0.182,0.607
Rimbp2,-0.16,0.814,0.956
Rsrc2,-0.0315,0.476,0.83
Scarb2,-0.0796,0.117,0.516
Zcchc8,0.0239,0.696,0.921
Stx2,-0.0465,0.471,0.828
Ran,-0.0233,0.624,0.9
Nipsnap2,0.124,0.0223,0.257
Diablo,0.0428,0.605,0.895
Vps33a,0.0682,0.185,0.611
Mmp17,0.0404,0.785,0.949
Bcl7a,-0.0674,0.389,0.781
Sfswap,0.044,0.37,0.769
Psmd9,-0.0152,0.83,0.96
Wdr66,0.0729,0.691,0.919
Psph,-0.0353,0.755,0.939
Cct6a,0.0501,0.238,0.667
Rhof,-0.511,0.12,0.521
Tmem116,-0.0836,0.618,0.898
Mapkapk5,-0.013,0.849,0.964
Aldh2,0.0274,0.591,0.887
Acad10,-0.0482,0.665,0.911
Brap,-0.0533,0.283,0.705
Fam168a,0.0287,0.678,0.915
Vps29,-0.066,0.215,0.644
Fam216a,-0.049,0.681,0.916
Gpn3,-0.033,0.61,0.897
Arpc3,-0.143,0.000834,0.0445
Anapc7,0.0579,0.256,0.685
Atp2a2,0.178,0.000077,0.0108
P2rx7,-0.113,0.33,0.741
Ift81,0.135,0.092,0.47
P2rx4,-0.0807,0.25,0.677
Camkk2,-0.234,0.00599,0.133
Anapc5,0.079,0.0107,0.179
Rnf34,0.0666,0.3,0.718
Kdm2b,0.0361,0.643,0.906
Ncor2,0.193,0.00146,0.0612
Dhx37,-0.0219,0.759,0.94
Aacs,-0.687,0.0999,0.486
Anxa3,-0.264,0.0000206,0.00435
Mrpl1,0.0453,0.521,0.853
Mfsd7a,-0.344,0.00744,0.15
Pxmp2,0.0646,0.214,0.643
Pgam5,0.0318,0.6,0.892
Ankle2,0.00766,0.872,0.969
Golga3,-0.0534,0.312,0.725
Ddx51,0.0406,0.564,0.874
Ep400,0.0874,0.108,0.502
Pus1,0.0488,0.497,0.841
Gpc2,-0.499,0.216,0.645
Ulk1,-0.0814,0.201,0.63
Prkab1,-0.0139,0.867,0.968
Cit,-0.272,0.155,0.572
Rab35,-0.0417,0.383,0.777
Chek2,-0.305,0.0427,0.342
Sirt4,0.185,0.0203,0.246
Pxn,0.041,0.371,0.77
Ccr9,-0.995,0.159,0.577
St7,0.0467,0.65,0.908
Triap1,-0.0403,0.636,0.904
Gatc,0.0384,0.507,0.844
Srsf9,0.0374,0.645,0.906
Cabp1,0.0238,0.845,0.964
Acads,0.0177,0.755,0.939
Ints1,0.173,0.00782,0.154
Sppl3,0.0619,0.28,0.702
Psmg3,0.121,0.361,0.763
Tes,-0.377,0.0109,0.181
Tfec,-0.74,0.112,0.507
Mad1l1,0.0774,0.359,0.762
Mrm2,-0.0281,0.75,0.937
2210016L21Rik,0.00149,0.983,0.995
Snx8,-0.166,0.0439,0.346
Oasl2,-0.315,0.00815,0.157
Foxp2,0.0623,0.684,0.917
Tmem168,-0.065,0.211,0.64
Lfng,0.0372,0.823,0.958
Tmem106b,-0.00381,0.966,0.992
Mmab,-0.112,0.0262,0.278
Radil,-0.118,0.452,0.819
Ube3b,0.0229,0.644,0.906
Wipi2,-0.0574,0.191,0.616
Actb,-0.014,0.916,0.981
Fscn1,-0.165,0.305,0.721
Zfp12,0.0973,0.292,0.713
Ung,0.325,0.00106,0.051
Usp30,0.0495,0.45,0.818
Rbm19,0.0962,0.186,0.612
Sdsl,0.0849,0.474,0.828
Sds,-0.307,0.271,0.695
Plbd2,0.00849,0.878,0.97
Ddx54,0.0545,0.361,0.763
Rita1,0.0582,0.417,0.797
Iqcd,0.479,0.534,0.86
Rasal1,-2.28,0.0547,0.381
Dtx1,-0.0559,0.855,0.966
Oas1b,-0.259,0.148,0.562
Ankrd61,0.0943,0.853,0.965
Aimp2,-0.0754,0.299,0.717
Eif2ak1,0.0181,0.702,0.923
Rpl6,-0.0657,0.149,0.563
Erp29,-0.017,0.766,0.943
Ccz1,-0.164,0.00766,0.151
Arpc1a,-0.0223,0.651,0.908
Arpc1b,-0.11,0.166,0.587
Pdap1,-0.089,0.0689,0.419
Ptcd1,0.273,0.0124,0.194
Cpsf4,-0.00649,0.936,0.985
Zkscan14,0.116,0.281,0.702
Phf14,-0.00687,0.904,0.978
Ndufa4,0.0657,0.25,0.677
Rnf6,0.0483,0.234,0.664
Cdk8,-0.0468,0.417,0.797
Wasf3,-0.28,0.0614,0.398
Glcci1,-0.0817,0.707,0.924
Usp12,0.118,0.0161,0.221
Rasl11a,-0.0505,0.873,0.969
Polr1d,-0.0493,0.449,0.817
Pan3,0.0485,0.466,0.825
Flt1,0.0541,0.53,0.858
Pomp,0.0223,0.623,0.899
Slc46a3,0.0535,0.637,0.904
Mtus2,0.209,0.00422,0.111
N4bp2l2,-0.0189,0.732,0.932
Hsph1,0.0166,0.904,0.978
Wdr95,0.862,0.45,0.818
Medag,-0.22,0.0594,0.393
Col1a2,0.0696,0.528,0.857
Tfpi2,-0.188,0.464,0.824
Tspan12,-0.0617,0.387,0.78
Ing3,-0.119,0.175,0.6
Wnt16,0.533,0.246,0.673
Fam3c,-0.0874,0.128,0.534
Auts2,0.406,0.0000874,0.0116
Limk1,-0.0484,0.596,0.89
Eln,0.143,0.266,0.691
Pot1a,-0.172,0.0318,0.302
Bcl7b,0.0573,0.215,0.645
Lmod2,-0.14,0.133,0.541
Wasl,-0.0805,0.123,0.525
Asb15,0.298,0.0000395,0.00672
Cul1,-0.000937,0.983,0.995
